"","plot.UID","genotype.id","year_site.harvest_year","date","index_name","mean_value","median_value","plot_size_px","plot_size_ratio"
"90","RGB0090",328,2018,"2018-03-22T00:00:00","NDI",114.620690703418,114.016806722689,267687,0.802659670164918
"91","RGB0091",116,2018,"2018-03-22T00:00:00","NDI",115.588583715736,114.897637795276,267687,0.802659670164918
"92","RGB0092",292,2018,"2018-03-22T00:00:00","NDI",113.418780262637,112.64,267687,0.802659670164918
"93","RGB0093",144,2018,"2018-03-22T00:00:00","NDI",111.445341758378,111.036144578313,267687,0.802659670164918
"94","RGB0094",160,2018,"2018-03-22T00:00:00","NDI",111.608918721784,111.227586206897,267687,0.802659670164918
"95","RGB0095",308,2018,"2018-03-22T00:00:00","NDI",112.539479580127,111.894039735099,267687,0.802659670164918
"96","RGB0096",343,2018,"2018-03-22T00:00:00","NDI",110.921229170578,110.592,267687,0.802659670164918
"97","RGB0097",33,2018,"2018-03-22T00:00:00","NDI",113.740262446708,112.842105263158,267687,0.802659670164918
"98","RGB0098",237,2018,"2018-03-22T00:00:00","NDI",113.720709247608,113.009009009009,267687,0.802659670164918
"99","RGB0099",148,2018,"2018-03-22T00:00:00","NDI",112.318008882538,111.746031746032,267687,0.802659670164918
"100","RGB0100",214,2018,"2018-03-22T00:00:00","NDI",111.101729483204,110.730158730159,267687,0.802659670164918
"101","RGB0101",372,2018,"2018-03-22T00:00:00","NDI",112.446094405257,111.79746835443,267687,0.802659670164918
"102","RGB0102",288,2018,"2018-03-22T00:00:00","NDI",112.64293206689,111.881481481481,267687,0.802659670164918
"103","RGB0103",2,2018,"2018-03-22T00:00:00","NDI",111.428984262256,110.993006993007,267687,0.802659670164918
"104","RGB0104",29,2018,"2018-03-22T00:00:00","NDI",112.055043613731,111.435294117647,267687,0.802659670164918
"105","RGB0105",370,2018,"2018-03-22T00:00:00","NDI",111.184755090464,110.751773049645,267687,0.802659670164918
"106","RGB0106",113,2018,"2018-03-22T00:00:00","NDI",112.239928988885,111.639097744361,267687,0.802659670164918
"107","RGB0107",70,2018,"2018-03-22T00:00:00","NDI",111.923021942954,111.389312977099,267687,0.802659670164918
"108","RGB0108",462,2018,"2018-03-22T00:00:00","NDI",111.496461341353,110.933333333333,267687,0.802659670164918
"109","RGB0109",478,2018,"2018-03-22T00:00:00","NDI",113.745561358079,112.941176470588,267687,0.802659670164918
"110","RGB0110",466,2018,"2018-03-22T00:00:00","NDI",112.166903741566,111.524752475248,267687,0.802659670164918
"111","RGB0111",67,2018,"2018-03-22T00:00:00","NDI",112.168410695425,111.589743589744,267687,0.802659670164918
"112","RGB0112",102,2018,"2018-03-22T00:00:00","NDI",112.096711134684,111.639097744361,267687,0.802659670164918
"113","RGB0113",14,2018,"2018-03-22T00:00:00","NDI",111.823284537018,111.191919191919,267687,0.802659670164918
"114","RGB0114",23,2018,"2018-03-22T00:00:00","NDI",113.283675508714,112.432432432432,267687,0.802659670164918
